Grid_ID,Lon_start,Lon_end,Lat_start,Lat_end,Earthquake_count,FD_bw_2.3,FD_bw_1.3,FD_bw_5.0,FD_bw_0.4,FD_bw_0.3,FD_bw_0.2,FD_bw_0.1,FD_bw_0.5,FD_bw_0.6,FD_bw_1.6,FD_bw_4.2,FD_bw_1.5,FD_bw_0.9,FD_bw_4.7,FD_bw_4.1,FD_bw_4.4,FD_bw_1.1,FD_bw_1.9,FD_bw_0.8,FD_bw_0.7,FD_bw_3.6,FD_bw_1.7,FD_bw_4.8,FD_bw_1.8,FD_bw_3.0,FD_bw_2.6,FD_bw_3.8,FD_bw_2.2,FD_bw_3.4,FD_bw_3.1
grid_1,-121.0,-120.0,35.0,36.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
grid_2,95.0,96.0,-11.0,-10.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
grid_3,95.0,96.0,-9.0,-8.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
grid_4,95.0,96.0,-8.0,-7.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
grid_5,95.0,96.0,-7.0,-6.0,3,,,,0.5816428591259551,0.6119638659493123,0.654721400401173,,,,,,,,,,,,,,,,,,,,,,,,
grid_6,95.0,96.0,-3.0,-2.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
grid_7,95.0,96.0,0.0,1.0,4,,,,0.6194770035015431,0.5959168244859214,0.537938289663319,,,,,,,,,,,,,,,,,,,,,,,,
grid_8,95.0,96.0,1.0,2.0,34,,,,0.582218819833844,0.5667185420915336,0.4879456774842636,,,,,,,,,,,,,,,,,,,,,,,,
grid_9,95.0,96.0,2.0,3.0,484,,,,,0.7405026532415779,0.6737465135129433,0.5449523651334817,,,,,,,,,,,,,,,,,,,,,,,
grid_10,95.0,96.0,3.0,4.0,212,,,,,0.6421358067643818,0.5974748186631675,0.4461082645185586,,,,,,,,,,,,,,,,,,,,,,,
grid_11,95.0,96.0,4.0,5.0,260,,,,,0.593832923990849,0.49521295140677285,0.35853329791603744,,,,,,,,,,,,,,,,,,,,,,,
grid_12,95.0,96.0,5.0,6.0,89,,,,,0.6492541646245442,0.7084358908277829,0.6091136406272862,,,,,,,,,,,,,,,,,,,,,,,
grid_13,96.0,97.0,-11.0,-10.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
grid_14,96.0,97.0,-10.0,-9.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
grid_15,96.0,97.0,-6.0,-5.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
grid_16,96.0,97.0,-3.0,-2.0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
grid_17,96.0,97.0,-2.0,-1.0,4,,,,,0.5265495154751282,,,0.5568092176045021,0.5617118982777082,,,,,,,,,,,,,,,,,,,,,
grid_18,96.0,97.0,-1.0,0.0,53,,,,,0.7756979881431031,0.6928506479051896,0.5317243873182738,,,,,,,,,,,,,,,,,,,,,,,
grid_19,96.0,97.0,0.0,1.0,212,,,,,0.694157149868981,0.6238593041683993,0.47819952913397074,,,,,,,,,,,,,,,,,,,,,,,
grid_20,96.0,97.0,1.0,2.0,288,,,,,0.6984241820530614,0.6634987318215211,0.5159956651270862,,,,,,,,,,,,,,,,,,,,,,,
grid_21,96.0,97.0,2.0,3.0,719,,,,,0.697231847585581,0.6629276043835752,0.5324046200127859,,,,,,,,,,,,,,,,,,,,,,,
grid_22,96.0,97.0,3.0,4.0,205,,,,,0.6424225153045371,0.5559983737149529,0.44909158428244483,,,,,,,,,,,,,,,,,,,,,,,
grid_23,96.0,97.0,4.0,5.0,223,,,,,0.6589413105873347,0.6531252768704434,0.4913954226315005,,,,,,,,,,,,,,,,,,,,,,,
grid_24,96.0,97.0,5.0,6.0,51,,,,,0.7956070067579323,0.7098719601770087,0.5832546584935906,,,,,,,,,,,,,,,,,,,,,,,
grid_25,97.0,98.0,-10.0,-9.0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
grid_26,97.0,98.0,-7.0,-6.0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
grid_27,97.0,98.0,-6.0,-5.0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
grid_28,97.0,98.0,-3.0,-2.0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
grid_29,97.0,98.0,-2.0,-1.0,39,,,,0.6816827325821534,0.6359856094080789,0.5767710744914732,,,,,,,,,,,,,,,,,,,,,,,,
grid_30,97.0,98.0,-1.0,0.0,110,,,,,0.582664046468226,0.5368340300189732,0.4275581230325928,,,,,,,,,,,,,,,,,,,,,,,
grid_31,97.0,98.0,0.0,1.0,705,,,,,0.587379513146297,0.5358757082393235,0.39954668769311963,,,,,,,,,,,,,,,,,,,,,,,
grid_32,97.0,98.0,1.0,2.0,1060,,,,,0.7332616659901103,0.6562921214013603,0.528077424311474,,,,,,,,,,,,,,,,,,,,,,,
grid_33,97.0,98.0,2.0,3.0,142,,,,,0.6211969466101094,0.5755848273985508,0.4601658138465855,,,,,,,,,,,,,,,,,,,,,,,
grid_34,97.0,98.0,3.0,4.0,81,,,,,0.5941777067905285,0.5565234163114177,0.40611600967724854,,,,,,,,,,,,,,,,,,,,,,,
grid_35,97.0,98.0,4.0,5.0,56,,,,,0.5903027749259077,0.5907266834511674,0.4426206839840979,,,,,,,,,,,,,,,,,,,,,,,
grid_36,97.0,98.0,5.0,6.0,7,,,,0.5758324386652992,0.47689541200452845,,,0.6223002394059401,,,,,,,,,,,,,,,,,,,,,,
grid_37,98.0,99.0,-10.0,-9.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
grid_38,98.0,99.0,-7.0,-6.0,3,,,,,,0.5589126600549195,0.6373272734824886,,,0.5192002677294479,,,,,,,,,,,,,,,,,,,,
grid_39,98.0,99.0,-5.0,-4.0,4,,,,,,,0.544466308822764,,,,0.5529263950379633,0.553711332489076,,,,,,,,,,,,,,,,,,
grid_40,98.0,99.0,-4.0,-3.0,4,,,,0.6820950533877342,0.6298251420151789,0.5384281077238751,,,,,,,,,,,,,,,,,,,,,,,,
grid_41,98.0,99.0,-3.0,-2.0,9,,,,0.6843735642890315,0.6983933944846251,,0.5122141387298177,,,,,,,,,,,,,,,,,,,,,,,
grid_42,98.0,99.0,-2.0,-1.0,59,,,,,0.6606407488115835,0.5912500389818443,0.4649822885041199,,,,,,,,,,,,,,,,,,,,,,,
grid_43,98.0,99.0,-1.0,0.0,130,,,,,0.5970531877975314,0.6007027061745683,0.5162238134727921,,,,,,,,,,,,,,,,,,,,,,,
grid_44,98.0,99.0,0.0,1.0,268,,,,,0.654028956078579,0.5839910300604015,0.4592159720995308,,,,,,,,,,,,,,,,,,,,,,,
grid_45,98.0,99.0,1.0,2.0,139,,,,,0.5427146848073151,0.5043412553358987,0.49308576670283577,,,,,,,,,,,,,,,,,,,,,,,
grid_46,98.0,99.0,2.0,3.0,95,,,,,0.6123400849241805,0.5725704267001654,0.48745981208480454,,,,,,,,,,,,,,,,,,,,,,,
grid_47,98.0,99.0,3.0,4.0,43,,,,,0.6882907626016007,0.6033733522963676,0.42960951441913386,,,,,,,,,,,,,,,,,,,,,,,
grid_48,98.0,99.0,4.0,5.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
grid_49,98.0,99.0,5.0,6.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
grid_50,99.0,100.0,-8.0,-7.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
grid_51,99.0,100.0,-5.0,-4.0,4,,,,0.6189206282567445,0.6232537106806652,0.6011062278156907,,,,,,,,,,,,,,,,,,,,,,,,
grid_52,99.0,100.0,-4.0,-3.0,124,,,,,0.7370431270038937,0.658078584908774,0.5552120786450708,,,,,,,,,,,,,,,,,,,,,,,
grid_53,99.0,100.0,-3.0,-2.0,214,,,,,0.7100596698846484,0.6697874864347194,0.6161997862571139,,,,,,,,,,,,,,,,,,,,,,,
grid_54,99.0,100.0,-2.0,-1.0,633,,,,,0.7551509919057867,0.6750331607050873,0.541935512294978,,,,,,,,,,,,,,,,,,,,,,,
grid_55,99.0,100.0,-1.0,0.0,95,,,,,0.6255651738773943,0.590911649012733,0.5111033589001425,,,,,,,,,,,,,,,,,,,,,,,
grid_56,99.0,100.0,0.0,1.0,83,,,,,0.6587698598823157,0.5986424903978343,0.5009506687322897,,,,,,,,,,,,,,,,,,,,,,,
grid_57,99.0,100.0,1.0,2.0,235,,,,,0.673215535707896,0.6110987148157094,0.5159729772898943,,,,,,,,,,,,,,,,,,,,,,,
grid_58,99.0,100.0,2.0,3.0,112,,,,,0.7374927713922508,0.6862729965200047,0.5617629274737779,,,,,,,,,,,,,,,,,,,,,,,
grid_59,99.0,100.0,3.0,4.0,5,,,,,,,0.425969413597654,,,,,,0.5619543345979132,0.5634596303932999,,,,,,,,,,,,,,,,
